key_length,block_length,num_blocks,p_err,success_rate,max_candidates_num,max_num_indices_to_encode,code_generation_strategy,sparsity,theoretic_key_rate,is_success,key_rate,encoding_size_rate,matrix_size_rate,bob_communication_rate,total_communication_rate,time_rate
100,10,10,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.3011428751370197,0.81,35.18616751600967,5.864411213645598,42.3343983552394,3.621705445
100,10,10,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.3011428751370197,0.81,35.18616751600967,6.289358818102353,42.759345959696155,3.605112958999998
55,11,5,0.02,0.9,121,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,35.186167516009675,2.8826564612661394,39.336793977852736,3.925443221818182
55,11,5,0.02,0.9,121,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,35.186167516009675,3.077636539117529,39.531774055704126,4.619854640000001
55,11,5,0.02,0.9,121,3,linear,0,0.4635219581793357,True,0.3458100001573432,0.7818181818181819,34.235190015576975,2.860470021371154,38.334812537511944,4.38699223090909
55,11,5,0.02,0.9,121,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,35.186167516009675,2.826463636581158,39.28060115316775,4.015757781818183
55,11,5,0.02,0.9,121,3,linear,0,0.4635219581793357,True,0.2881750001311193,0.8181818181818182,36.13714501644237,2.564234038140259,39.99816655517266,3.117109843636364
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,29.48030251341351,1.487298515887005,32.26727027989186,0.06848858999999999
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,2.1749775432606,36.1565735587222,0.09382323
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,31.69925001442313,1.6990525937270693,34.697971858741546,0.125027938
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.15849625007211562,0.9,35.50316001615391,2.8277053272487875,39.75733159405174,0.07830382000000004
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.19019550008653877,0.88,32.3332350147116,2.2402091388274297,35.968211154173645,0.07072958400000004
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,28.212332512836582,1.885896296510369,31.429597309952722,0.096011706
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,30.748272513990432,1.3822220588794714,33.39846457344683,0.06182406600000002
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,29.48030251341351,1.4652286678135056,32.245200431818354,0.100163716
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,27.261355012403886,1.6608335482561103,30.221857811251343,0.09353023400000002
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,1.590115102072151,35.571711117533745,0.07255443
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.19019550008653877,0.88,28.84631751312504,1.9245361727774968,32.16562068653716,0.080218912
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,31.69925001442313,1.3865427642779857,34.38546202929246,0.05173548799999999
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,27.261355012403886,1.7500022813899379,30.31102654438517,0.101229124
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,2.3056105338599604,36.28720654932155,0.200185026
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,29.48030251341351,1.5752882674737156,32.35526003147857,0.14037312199999996
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,28.212332512836582,1.7656268749179151,31.309327888360272,0.07735458600000002
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,1.8680064784368668,35.849602493898466,0.12292703399999994
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,2.0667639993917235,36.04836001485332,0.14978787400000002
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,27.895340012692355,1.587352621595707,30.814061134893834,0.03791070000000005
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,30.748272513990432,1.4622158643966616,33.47845837896402,0.06427128400000001
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,26.627370012115424,1.275158672752916,29.202197935459687,0.059531185999999965
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,30.748272513990432,1.6635828769657923,33.67982539153315,0.11891119599999996
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.22189475010096188,0.86,33.60120501528852,2.2417718408356895,37.206044606744406,0.13227231799999997
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.22189475010096188,0.86,29.163310013269278,1.9172742544643462,32.443652018353816,0.12424851399999995
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,28.212332512836582,1.666469124050566,31.210170137492923,0.06494763799999986
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,31.69925001442313,1.7546649458044985,34.75358421081897,0.11562137199999994
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,2.018464677036271,36.00006069249787,0.14860956200000003
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,1.976138146837477,35.957734162299076,0.1005428040000001
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,28.212332512836582,1.5724713544844269,31.116172367926783,0.05173157799999984
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,1.9324566480598449,35.914052663521446,0.12216237399999982
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.15849625007211562,0.9,25.676392511682735,1.8819228019465573,28.984781564278332,0.0501524999999998
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.22189475010096188,0.86,33.60120501528852,2.1063028789610927,37.070575644869805,0.12069524000000001
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,27.261355012403886,1.5717814471879108,30.132805710183142,0.07619149800000002
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.22189475010096188,0.86,33.60120501528852,2.1709129094466824,37.135185675355395,0.12534279200000015
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.22189475010096188,0.86,33.60120501528852,2.137443372631444,37.10171613854016,0.10705797200000006
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,False,0,0.82,27.261355012403886,1.5503107613724905,30.111335024367722,0.08286111000000006
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,26.310377511971193,1.1155374482172231,28.69388496076534,0.04801557799999955
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,27.261355012403886,1.4429839983737929,30.004008261369027,0.06405746399999998
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,1.9560711334180456,35.93766714887964,0.12688288
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,31.69925001442313,1.5088438847994416,34.50776314981392,0.05360942399999999
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,28.212332512836582,2.0068655156587347,31.55056652910109,0.09728978000000041
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,26.310377511971193,1.2318789972977793,28.810226509845897,0.0595581599999997
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,False,0,0.8,30.748272513990432,1.4479122353551792,33.464154749922535,0.07141771800000014
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,1.8818787004390218,35.86347471590062,0.13174165799999968
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,28.212332512836582,1.721034645041835,31.26473565848419,0.12471885200000031
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,2.027656562380672,36.00925257784227,0.07835241999999994
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,26.310377511971193,1.1002483842510236,28.678595896799138,0.05750879999999995
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,27.261355012403886,1.697375398902545,30.25839966189778,0.09151343600000018
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,27.261355012403893,1.5270374146051366,30.088061677600376,0.04836680999999999
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,False,0,0.8,15.53263250706733,0.7347718738964563,17.535374381540713,0.022031273999999712
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.19019550008653877,0.88,34.55218251572121,2.801662645368012,38.74861216172385,0.1589498259999999
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,1.9061311572252015,35.887727172686795,0.06956727400000035
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,28.212332512836582,1.8141880811669688,31.357889094609323,0.08805017799999973
