key_length,block_length,num_blocks,p_err,success_rate,max_candidates_num,max_num_indices_to_encode,code_generation_strategy,sparsity,theoretic_key_rate,is_success,key_rate,encoding_size_rate,matrix_size_rate,bob_communication_rate,total_communication_rate,time_rate
50,10,5,0.0,0.9,100,3,linear,0,0.5849625007211562,1.0,0.5452271002480777,0.656,27.388152012461585,2.8240708001701074,31.251958213104775,0.022222598800000003
50,10,5,0.01,0.9,10000,3,linear,0,0.5141693648252452,1.0,0.15215640006923103,0.9040000000000001,39.497265517971215,5.255267134403163,46.1853387530263,19.619200802800002
50,10,5,0.01,0.9,50,3,linear,0,0.5141693648252452,1.0,0.3486917501586544,0.78,31.12866351416351,1.821427927874843,34.186362192600846,0.045376052400000005
50,10,5,0.01,0.9,50,3,linear,0,0.5141693648252452,1.0,0.3423519001557698,0.784,31.57245301436543,1.8961309014868157,34.71119451641764,0.04694961840000002
50,10,5,0.01,0.9,150,3,linear,0,0.5141693648252452,1.0,0.355031600161539,0.776,31.699250014423125,2.4423046006368683,35.37148551561961,0.10725649480000002
50,10,5,0.01,0.9,500,3,linear,0,0.5141693648252452,0.8,0.2916331001326927,0.7639999999999999,31.635851514394282,3.0019075197898273,35.848670384735065,0.2767941656
100,10,10,0.01,0.9,50,3,linear,0,0.5141693648252452,1.0,0.3582015251629813,0.774,33.949896765447164,3.024022125237133,38.200679866242474,0.059075850799999996
100,10,10,0.01,0.9,100,3,linear,0,0.5141693648252452,0.8,0.3074827251399043,0.752,33.18911476510101,3.6150552295019267,37.99606179514525,0.1108023422
100,10,10,0.01,0.9,100,10,linear,0,0.5141693648252452,1.0,0.37405115017019286,0.764,68.94586878137031,3.687663496577946,73.84444362849922,0.1098639826
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,1.0,0.2916331001326927,0.8160000000000001,66.15633478010106,2.852065943661582,70.3017301243511,0.2379937124
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,0.8,0.21555490009807726,0.8160000000000001,70.75272603219241,3.4628390643134503,75.50889449709433,0.2054539504
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,1.0,0.2916331001326927,0.8160000000000001,42.28679951924045,2.387550162321234,45.967679082150156,0.1718688832
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,1.0,0.2916331001326927,0.8160000000000001,41.52601751889429,2.2752397113796574,45.09458663086242,0.0917833376
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,1.0,0.2726135501240389,0.828,42.3501980192693,2.444856533219833,46.107403503086246,0.12217426840000001
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,1.0,0.3233323501471159,0.7959999999999999,76.14159853464434,6.175301114835772,83.57852980005416,2.6063895304
100,10,10,0.02,0.9,100,3,linear,0,0.4635219581793357,1.0,0.3074827251399043,0.806,34.99597201592313,6.087015573133841,42.36046736463822,3.759576008
55,11,5,0.02,0.9,121,3,linear,0,0.4635219581793357,1.0,0.3169925001442312,0.8,35.18616751600967,2.8422921392952474,39.296429655881845,4.013031543636364
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1.0,0.23457445010673114,0.852,32.33323501471159,2.085848623790178,35.7694716891162,0.08727463240000002
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1.0,0.2789534001269235,0.8240000000000001,29.670498013500044,1.5968591347063215,32.573366248800596,0.0848168304
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,0.93,0.24345024011076938,0.8336000000000001,29.867033363589456,1.754422537760001,32.942680641950616,0.08958589877999998
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,0.5,0.11094737505048094,0.84,32.65022751485583,2.125387481961773,36.106983497423364,0.149524396
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,0.5,0.14264662506490405,0.82,27.261355012403886,1.5205061042511907,30.081530367246422,0.09074887799999999
