key_length,block_length,num_blocks,p_err,success_rate,max_candidates_num,max_num_indices_to_encode,code_generation_strategy,sparsity,theoretic_key_rate,sample_size,is_success,key_rate,encoding_size_rate,matrix_size_rate,bob_communication_rate,total_communication_rate,time_rate
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.19019550008653877,0.88,34.55218251572121,2.539648507312157,38.486598023667995,0.186168464
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.2852932501298081,0.82,27.261355012403886,1.5441777674784531,30.105202030473688,0.139357438
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.2852932501298081,0.82,31.69925001442313,1.7194858050693518,34.718405070083826,0.09481683199999999
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.2852932501298081,0.82,31.69925001442313,1.6248569677337314,34.623776232748206,0.08319675400000001
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.3486917501586544,0.78,14.581655006634637,0.6452932501298081,16.46321900732695,0.014693289999999996
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.38039100017307753,0.76,22.18947501009619,0.6203910001730775,24.01443751081734,0.007404006000000001
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.31699250014423125,0.8,26.310377511971197,1.0015688739541488,28.57991638650227,0.007315668000000004
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.38039100017307753,0.76,14.581655006634637,0.5501955000865386,16.336422007269256,0.007468648
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.38039100017307753,0.76,19.336542508798107,0.6535940001153849,21.194708009461568,0.006246197999999996
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.4120902501875006,0.74,16.16661750735579,0.3984962500721156,17.737986007961563,0.005581563999999996
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.31699250014423125,0.8,12.67970000576925,0.7535940001153848,14.70126400646156,0.0052988319999999955
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.38039100017307753,0.76,14.264662506490406,0.519674123853187,15.988908130891673,0.005434444000000003
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,False,0,0.16,2.53594000115385,0.0,2.789534001269235,0.0006619799999999998
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,False,0,0.16,2.53594000115385,0.0,2.789534001269235,0.0006429200000000002
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.38039100017307753,0.76,17.117595007788488,0.6501955000865387,18.972362008423104,0.016108802
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,False,0,0.58,15.849625007211563,0.24679700005769248,17.015700257687524,0.0032675259999999985
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,False,0,0.78,12.36270750562502,0.6618947501009618,14.260873006288483,0.005192331999999995
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,False,0,0.76,12.045715005480789,0.473594000115385,13.723880506144253,0.005075896000000002
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.38039100017307753,0.76,14.898647506778868,0.47699250014423117,16.58021150747118,0.006622316000000001
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.3486917501586544,0.78,24.72541501125004,0.7886917501586542,26.750377511971195,0.0077617919999999965
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,False,0,0.16,2.53594000115385,0.0,2.789534001269235,0.0006515760000000004
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.4120902501875006,0.74,22.82346001038465,0.49849625007211557,24.494828510990423,0.006005120000000002
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,False,0,0.76,18.702557508509642,0.5901955000865386,20.49732450914426,0.005879679999999991
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.31699250014423125,0.8,18.06857250822118,0.965888196997689,20.302430705795796,0.006305139999999998
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,False,0,0.44,9.192782504182707,0.06,9.950166004500016,0.002099334000000006
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,False,0,0.44,6.973835003173088,0.02,7.691218503490396,0.0019201840000000025
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,False,0,0.74,23.457445010673112,0.61137337386761,25.241690635074377,0.008542993999999986
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,False,0,0.74,13.947670006346176,0.3984962500721156,15.519038506951947,0.005316379999999992
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.3486917501586544,0.78,17.43458750793272,0.7907904469544197,19.461648705449644,0.006259826000000004
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,False,0,0.58,9.192782504182707,0.07169925001442312,10.1837600046154,0.0027197720000000027
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,True,0.3486917501586544,0.78,19.97052750908657,0.8818947501009617,22.08869300975003,0.012101284000000004
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,False,0,0.16,2.53594000115385,0.0,2.789534001269235,0.0011669019999999896
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,False,0,0.3,4.754887502163469,0.0,5.230376252379816,0.0012718339999999984
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,1,False,0,0.16,2.53594000115385,0.0,2.789534001269235,0.0006464019999999948
